input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,26,All,6,,,-2,+1,,,,
5K,30,All,8,,,-2,+1,,,,
c.S,42,All,7,,,-2,+1,,,,
f.S,33,All,12,,,-15,-12,,,,
5H,44,All,15,,,-8,-5,,,,
2P,22,All,6,,,-2,+1,,,,
2K,25,Low,7,,,-2,+1,,,,
2S,31,Low,12,,,-6,-3,,,,
2H,44,All,22,,,-4,,,,,
j.P,23,High,9,,,,,,,,
j.K,26,High,6,,,,,,,,
j.S,31,High,7,,,,,,,,
j.H,39,High,13,,,,,,,,
j.D,42,High,8,,,,,,,,
6P,33,All,10,,,-17,,,,,
6H,12->12->25,All,16,,,-8,,,,,
2D,31,Low,10,,,-11,,,,,
5D,45 [56],High,20 [28],,,-15 [-10],0,,,
