input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

236P,Shitsu,20->40,All,38,,,-5,-2,,,,
236K,Suigetsu No Hakobi,,,34 [50],,,,,,,,
236S,Kou,20->50,All,12 [28],,,,,,,,
236H,Fuujin,35,All,17 [33],,,-16,-13,,,,
236H P,Shin: Ichishiki,32,All,30,,,+4,+7,,,,
236H K,Issokutobi,,,28,,22+6L,,,,,,
236H S,Nagiha,36,Low,13,,,-7,,,,,
236H H,Rin,45,High,25,,,-15,,,,
632146H,Issei Ougi: Sai,18*5->60,All,11+6,,,-30,,,,,
632146S,Kachoufuugetsu Kai,66->15*4->60,,32+0,,,,,,,,
632146S Attack,Kachoufuugetsu Kai,60->80,,,,,-1,,,,
