input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,40/52,All,7,,,-11,,,,,
5K,30,All,6,,,-2,,,,,
c.S,40,All,8,,,-4,,,,,
f.S,34,All,10,,,-14,,,,,
5H,48,All,16,,,-4,,,,,
2P,30/39,Low,10,,,-13,,,,,
2K,26,Low,7,,,-2,,,,,
2S,35/45,All,9,,,-16,,,,,
2H,45/58,Low,11,,,-18,,,,,
j.P,32/41,High,9,,,,,,,,
j.K,28,High,8,,,,,,,,
j.S,32/41,High,11,,,,,,,,
j.H,40/52,High,12,,,,,,,,
j.D,44,High,10,,,,,,,,
6P,30,All,12,,,-13,,,,,
6K,40/52,All,11,,,-13,,,,,
6H,54,High,27,,,-3,,,,,
2D,34,Low,10,,,-9,,,,,
5D,45/56,High,20 [28],,,-15 [-10],0,,,
