input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,19,Mid,3,,,-2,+1,,,,
5K,23,Mid,6,,,-3,0,,,,
c.S,37,Mid,7,,,-2,+1,,,,
f.S,29,Mid,9,,,-8,-5,,,,
5H,41,Mid,11,,,-4,-1,,,,
2P,17,Mid,5,,,-2,+1,,,,
2K,17,Low,5,,,-2,+1,,,,
2S,27,Mid,10,,,-7,-4,,,,
2H,35,Mid,12,,,-14,KD,,,,
j.P,15,High,5,,,,,,,,
j.K,15->15,High,6,,,,,,,,
j.S,31,High,9,,,,,,,,
j.H,21-> 21,High,9,,,,,,,,
j.D,43,High,8,,,,,,,,
6P,25,Mid,9,,,-16,-13,,,Head,
6K,34,High,20,,,-2,+1,,,,
6H,49,Mid,17,,,-5,-2,,,,
j.2K,13 x n,High,16,,,,,,,,
2D,29,Low,10,,,-7,KD,,,,
5D,39,High,20 [28],,,-15 [-10],0,,,
