input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,24,All,6,4,,-2,+1,,,,
5K,29,All,7,8,,-2,+1,,,,
c.S,39,All,8,6,,-4,-1,,,,
f.S,33,All,12,2,,-13,-10,,,,
5H,39>29,All,13,2,,-7,-4,,,,
2P,24,Low,7,2,,-3,0,,,,
2K,11<9<9,Low,7,2->3->3,,-2,+1,,,,
2S,31,All,11,9,,-19,-16,,,,
2H,39,Low,14,2,,-12,,,,,
j.P,19,High,7,4,,,,,,,
j.K,24,High,7,5,,,,,,,
j.S,31,High,14,3,,,,,,,
j.H,41,High,9,5,,,,,,,
j.D,44,High,13,6,,,,,,,
6P,34,All,9,,,-21,,,,,
6H,59,High,25,,,-34,-31,,,,
j.2K,29,All,14,Until Landing,,,,,,,
2D,34,Low,12,3,,-4,,,,,
5D,49,High,20 [28],3,,-15 [-10],0,,,
