input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,26 (27) [28],All,4,3,9,-2,+1,,,,
5K,30 (31) [33],All,6,4,10,-2,+1,,,,
c.S,40 (42) [44],All,7,6,10,+3,,,,,
f.S,32 [35],All,9,2(6)->2(6)->2,16,-4,-1,,,,
5H,45 (47) [49],All,10,3,19,-5,-2,,,,
2P,22 (23) [24],All,5,2,10,-2,+1,,,,
2K,28 (29) [30],Low,6,3,11,-2,+1,,,,
2S,32 [34],Low,9,3(5)-> 3,15,-6,-3,,,,
2H,40 (42) [44],All,11,6,21,-8,-5,,,,
j.P,20 (21) [22],,6,5,9,,,,,,
j.K,25 (26) [27],,6,3,19,,,,,,
j.S,30 (31) [33],,7,3,24,,,,,,
j.H,35 (36) [38],,8,5,18,,,,,,
j.D,25->25 (26->26) [27->27],,7,3(7)-> 3,18,,,,,,
6P,32 (33) [35],All,13,8,15,-9,KD,,,,
6H,32 (33) [35],All,17,9,15,-10,KD,,,,
6HH,28 (28) [30],All,11,,,-11,,,,,
6HHH,29 (31) [32],All,13,,,-16,,,,,
2D,40 (42) [44],Low,17,10,7,-3,KD,,,,
5D,45 (47) [49],High,20 [28],4,25,-15 [-10],-0 [KD],,,
