input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,22,All,5,4,9,-3,,,,,
5K,28,All,7,3,11,-2,,,,,
c.S,39,All,7,,,-2,,,,,
f.S,31,All,13,9,18,-13,,,,,
5H,41,All,16,4,23,-8,,,,,
2P,20,All,6,2,10,-2,,,,,
2K,23,Low,6,2,12,-2,,,,,
2S,28,All,11,2,23,-11,-8,,,,
2H,42,All,11,8,14,-5,,,,,
j.P,18,High,5,4,,,,,,,
j.K,24,High,7,12,,,,,,,
j.S,29,High,8,4,,,,,,,
j.H,41,High,12,5,,,,,,,
j.D,35,High,16,5,,,,,,,
6P,34,All,9,5,18,-9,,,,,
6H,20->45,All,7,2(12)8,19,-8,,,,,
2D,33,Low,12,3,18,-7,,,,,
5D,45[56],High,20[28],3,,-15[-11],,,,
