input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

236S,Stun Edge,30 [33],All,11,Until Hit,Total 54,-17,-14,15,2,none,
DI 236S,Stun Edge,30*2,All,11,Until Hit,Total 54,-14,-11,15,2,none,
236H,Charged Stun Edge,20*3 [22*3],All,39,Until Hit,Total 69,+15 [+18],+18 [+21],25,4,none,
DI 236H,Charged Stun Edge,17*5,All,39,Until Hit,Total 69,+38,+41,25,4,none,
j.236S,Aerial Stun Edge,30 [33],All,21,Until Hit,Until L+14,,,15,2,none,
DI j.236S,Aerial Stun Edge,30*2,All,21,Until Hit,Until L+14,,,15,2,none,
j.236H,Aerial Stun Edge,30 [33],All,21,Until Hit,Until L+14,,,15,2,none,
DI j.236H,Aerial Stun Edge,30*2,All,21,Until Hit,Until L+14,,,15,2,none,
623S,Vapor Thrust,48 [52],All,11,4,43,-33,,15[25],2[4],Strike 1-14f,
DI 623S,Vapor Thrust,30*2,All,11,4,,-26,,25,4,Strike 1-14f,
623H,Vapor Thrust,60 [66],All,13,8,44,-38,,15[25],2[4],Strike 1-16f,
DI 623H,Vapor Thrust,25*3,All,13,6,,-22,,25,4,Strike 1-18f,
j.623S,Vapor Thrust,48 [52],All,11,4,,,,15[25],2[4],Strike 1-14f,
DI j.623S,Vapor Thrust,30*2,All,11,4,,,,25,4,Strike 1-14f,
j.623H,Vapor Thrust,60 [66],All,13,8,,,,15[25],2[4],Strike 1-16f,
DI j.623H,Vapor Thrust,25*3,All,13,6,,,,25,4,Strike 1-18f,
236K,Stun Dipper,20*2 [20-> 22],Low-> All,5,11-> 7f gap-> 3,21,-15 [-10],,,,none,
DI 236K,Stun Dipper,20-> 26*2,Low-> All,5,,,-10,,25,4,none,
214K,Foudre Arc,40 [44],All,27,11,Until L + 8,-1~+6 [+4~+11],+3~+10 [+8~+15],15[25],2[4],none,
DI 214K,Foudre Arc,16-> 24*2,All,27,11,Until L + 8,+6~+11,,25,4,none,
214S,Dire Eclat,40 [44],All,14,3,25,-11 [-9],,20[25],3[4],none,
DI 214S,Dire Eclat,20*3,All,14,3,,-9,,25,4,none
632146H,Ride the Lightning,21*4-> 50 [22*4-> 60],All,7+1,12->2,,-82,,,,All 1-10f,
DI 632146H,Ride the Lightning,10*8-> 30*3,All,7+1,16->6,,-79,,,,All 1-15f,
j.632146H,Ride the Lightning,21*4-> 50 [22*4-> 60],All,7+1,12->2,,,,,,All 1-10f,
DI j.632146H,Ride the Lightning,10*8-> 30*3,All,7+1,16->6,,,,,,All 1-15f,
236236P,Sacred Edge,22*5 [26*5],All,4+3,Until Hit,,+10 [+15],,25,4,none,
DI 236236P,Sacred Edge,20*8,All,4+3,Until Hit,,+21,,25,4,none,
214214H,Dragon Install,40,All,21+1,5,41 Total,-5,KD,,,none
