input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,26,All,5,5,6,-1,+2,2 (5),0,,
5K,32,All,9,4,11,-1,+2,11 (17),2,,
c.S,40,All,7,6,13,-2,+1,15 (23),3,,
f.S,34,All,12,6,21,-13,-10,11 (17),2,,
5H,42,All,15,5,22,-10,-7,15 (23),3,,
2P,22,All,6,4,8,-2,+1,3 (5),0,,
2K,26,Low,7,6,11,-5,-2,5,1,,
2S,26,Low,10,3,19,-7,-4,8,,,
2H,44,All,12,8,30,-20,,15 (23),,,
j.P,24,High,5,3,9,,,2 (5),,,
j.K,30,High,10,7,25,,,5 (11),,,
j.S,24->19,High,7,3(3)3,17,,,4 (8),,,
j.H,42,High,11,3,19,,,8 (17),,,
j.D,44,High,22,Until L,15,,,8 (17),,,
6P,38,All,10,5,18,-5,,15 (23),,1-2 Upper Body-> 3-14 Above Knees,
6K,30,All,14,3,18,-4,-1,15 (23),3,,
6H,50,All,27,2,31,-15,-12,15 (23),,,
2D,40,Low,12,6,16,-5,,11 (23),,,
5D,40 [50],High,20 [28],3,26,-15 [-10],,8 [14] (17 [29]),,,
[s/h] h/s,42,All,10,3,20,-6,,15 (23),,
