input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,28,All,5,3,8,-1,+2,,,,
5K,30,All,9,6,11,-5,-2,,,,
c.S,44,All,7,6,8,+3,+6,,,,
f.S,38,All,12,3,19,-8,-5,,,,
5H,65,All,13,4,30,-15,-12,,,,
2P,24,All,5,4,8,-2,+1,,,,
2K,28,Low,6,4,10,-2,+1,,,,
2S,35,All,10,6,15,-7,-4,,,,
2H,60,All,11,13,26,-20,,,,,
j.P,22,High,5,3,,,,,,,
j.K,28,High,7,3,,,,,,,
j.S,34,High,12,4,,,,,,,
j.H,50,High,12,10,,,,,,,
j.D,60,High,10,6,,,,,,,
j.2H,40,High,13,,,,,,,,
6P,35,All,12,6,19,-7,,,,1-3 upper body-> 4-17 above knees,
6K,35,High,20,5,11,-2,+1,,,,
3K,35,Low,11,6,21,-13,,,,,
6H,70 [90],All [Guard Crush],16 [40],6 [6],24 [24],-8 [+8],,,,,
2D,30,Low,10,7,17,-7,,,,,
5D,50 [62],High,20 [28],3 [3],26 [26],-15 [-10],0 [],,,
