input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,26,Mid,5,3,9,0,+3,1000,1,,
5K,34,Mid,7,2,12,0,+3,1500,2,,
c.S,40,Mid,7,6,10,+3,KD,2500,4,,
f.S,25,Mid,16,3,28,-17,-14,1500,2,,
f.SS,25,Mid,13,3,19,-8,-5,1500,2,,
f.SSS,25->[80],Mid,14,6,38,-25,KD,2500,4,,
5H,60->65->70->[91],Mid,20->18->16->[16],6,27,-14,KD,2500,4,,
2P,22,Mid,6,3,11,-2,-1,1000,1,,
2K,26,Low,7,5,8,-1,+2,750,1,,
2S,32,Low,12,4,15,-5,-2,1125,2,,
2H,50->55->60->[78],Mid,19->17->15->[15],7,29,-17,KD,2500,4,,
j.P,20,High,7,3,,N/A,N/A,500,0,,
j.K,26,High,7,3,,N/A,N/A,1000,1,,
j.S,35,High,13,3,,N/A,N/A,1500,2,,
j.H,41->43->45->[58],High,16->15->14->[14],4,,N/A,N/A,2000,3,,
j.D,55,High,16,3,,N/A,N/A,2000,3,,
6P,34,Mid,13,5,15,-6,-3,1500,2,1~3F Upper body; 4~17F Above Knee,
6K,35,Low,15,3,15,-4,-1,1125,2,,
6H,70->80->90->[117],Mid,17->16->15->[15],6,30,-17,KD,2500,4,,
2D,30,Low,12,3,18,-7,KD,1125,2,,
5D,50 [62],High,20 [28],3,26,-15 [-10],0,1125 [1875],2,
