input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,30,All,5,5,6,+1,+4,,1,,
5K,36,Low,10,10,9,-4,-1,,2,,
c.S,45,All,8,4,11,+4,+7,,4,,
f.S,40,All,12,7,18,-8,-5,,3,,
5H,60,All,16,6,25,-11,-8,,4,,
5D,50 [62],High,20~27 [28],8,21,-15 [-10],0 [SKD +38],,2 [4],,
2P,26,All,8,4,9,-1,+2,,1,,
2K,30,Low,10,4,14,-4,-1,,2,,
2S,45,All,14,3,18,-4,-1,,3,,
2H,55,All,13,5,35,-21,SKD (+27),,4,,
2D,40,Low,13,7,21,-11,KD,,3,,
6H,90,All,23,5,25,-15,SKD (+25),,4,,
6K,45,All,22,5,24,-12,SKD (+26),,3,,
j.P,30,High,7,6,6,,,,0,,
j.K,36,High,10,6,15,,,,1,,
j.S,45,High,13,5,23,,,,3,,
j.H,55,High,12,4,16,,,,4,,
j.D,50,High,13,Until Landing,9 After landing,,,,3,,
6P,42,All,11,7,25,-15,SKD (+29),,3,
