input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,22,All,5,4,8,-2,1,,,,
5K,30,All,7,3,11,-2,1,,,,
c.S,40,All,7,6,13,-2,1,,,,
f.S,32 [25],All,11 [11],6,21,-10 [-13],-7 [-10],,,,
5H,42 [33],All,12 [12],3,28,-12 [-13],-9 [-11],,,,
2P,22,All,6,4,9,-3,0,,,,
2K,26,Low,6,5,9,-2,1,,,,
2S,38 [30],Low,12 [12],4 [4],20 [20],-7 [-10],-4 [-7],,,,
2H,46 [36],All,14 [14],,,-15 [-17],KD,,,,
j.P,20,High,5,,,,,,,,
j.K,22,High,7,,,,,,,,
j.S,30 [24],High,12 [12],,,,,,,,
j.H,40 [32],High,16 [16],,,,,,,,
j.D,16x3,High,10,,,,,,,,
6P,30,All,9,5,18,-9,-6,,,,
6H,50 [40],All,18 [18],2 [2],33 [33],-16 [-18],KD [-15],,,,
2D,36,Low,10,6,19,-8,KD,,,,
5D,45 [56],High,20 [28],2 [2],27 [27],-15 [-10],0 [KD],,,
