input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,28,All,4,5,9,-2,+1,,1,,80%
,5K,14->28,All,3,1->3,25,-14,-11,,0->2,
90%,,c.S,44,All,7,6,10,+3,+3,,4
,100%,,f.S,36,All,10,2,13,+2,+5,
3,,100%,,5H,52,All,11,4,22,-5,-2
,4,,100%,,2P,22,All,5,4,8,-2
+1,,0,,80%,,2K,28,Low,6,3,11
-2,+1,,1,,70%,,2S,34,All,10,3
20,-7,-4,,2,,90%,,2H,46,All,11
5,31,-17,-2,,4,,100%,,j.P,24,High
5,3,7,,,,0,,80%,,j.K,30
High,6,3,20,,,,1,,80%,,j.S
36,High,10,3,23,,,,2,,80%,
j.H,24x2,High,11,4->8,0,,,,2,,80%
,j.D,45,High,9,3,17,,,,3,
80%,,6P,36,All,9,5,20,-9,D,,2
,90%,,6S,55,All,15,5,21,-7,-4,
4,,90%,,6H,60,All,9,3,37,-22,KD
,4,,100%,,2D,36,Low,10,3,18,-4
KD,,3,,90%,,5D,50[62],High,20~28[28],3,27
-15[-10],0[D],,2[4],,80%[100%],,4D or 6D,80,Ground Throw,2,3
38,N/A,KD,,,,50%,,j.4D or j.6D,80,Air Throw,2
3,Until Landing+10,N/A,KD,,,,50%
