input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

5P,18,All,6,4,8,-2,+1,,,,
5K,24,Low,8,4,10,-2,+1,,,,
c.S,30,All,9,6,13,-2,+1,,,,
f.S,20*2,All,10,2x3,23,-12,-9,,,,
5H,40,All,13,6,22,-9,-6,,,,
2P,18,All,6,4,9,-3,0,,,,
2K,26,Low,7,2,13,-3,0,,,,
2S,35,All,11,4,20,-10,-7,,,,
2H,48,All,13,7,26,-13,KD,,,,
j.P,13*3,High,8,2(3)2(3)2,15,,,,,,
j.K,20,High,7,4,11,,,,,,
j.S,26,High,9,4,14,,,,,,
j.H,38,High,12,14,13,,,,,,
j.D,40,High,11,4,22,,,,,,
6P,30,All,13,8,12,-6,-3,,,1-4 Upper Body-> 5-17 Above Knees,
6K,30,High,23,4,17,-2,+1,,,,
6H,65,All,30,4,11,-4,+1,,,,
5D,40 [50],High,20 [28],3,26,-15 [-10],0 [KD],,,,
2D,27,Low,10,6,17,-9,HKD,,,
