input,name,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,level,invuln

22H,Invite Hell,30,All,18,32,51 Total,-7,KD,,,,
]P[,Pierce,20*2,All,13,3(17)2,24,,KD,,,,
236P,Pierce,20*2,All,21,3(17)2,24 [36 Total],+30,KD,,,,
]K[,That's a lot,22*4,All,19,,,,KD,,,,
236K,That's a lot,22*4,All,27,,,+55,KD,,,,
]S[,Leap,20-> 60,All,13,2x13,34,,KD,,,,
236S,Leap,20-> 60,All,21,2x13,34 [36 Total],+46,KD,,,,
]H[,Oppose,30*3,All,66,3x6,(Summon Vanishes),,KD,,,8 - 59 Guardpoint,
236H,Oppose,30*3,All,74,3x6,(Summon Vanishes) [36 Total],,KD,,,16 - 67 Guardpoint,
623S,Damned Fang,4*13-> 50,Throw,6,1,45 Total (Whiff),,HKD,,,,
214[K],Break The Law,,,,,,,,,,,
214S,Drunkard Shade,31,All,9,10,12,-8,-5,,,,
214S,Eddie Dash,,,,,,,,,,,
214H,Summon Eddie,,All,36 total,,,,,,,,
214H,Unsummon Eddie,,All,32 total,,,,,,,
632146H,Amorphous,150,,11+8,,,+12 min,,,,,
632146S,Sun Void,20*3,,11+14,,,,,,,,
j.632146S,Sun Void,20*3,,11+14,,,,,,,
